,Return,Volatility
XHE,15.027144819944628,19.892867709506483
PSCC,12.714733457033311,18.259590385002188
BMED,,
PBE,10.210169037649909,22.053278547194846
FXH,13.340931945325018,16.83979440798663
HTEC,,
PINK,,
IHI,19.01893787906721,17.061838674511066
CHIH,,
XBI,8.07042331758019,27.89760701381953
EUSC,7.765040189744599,18.269299583665507
JHMH,14.315377731084599,15.464889007802086
GXTG,,
XLV,15.557724769940396,15.206163605009234
SPMV,,
PTH,22.425065051763006,24.75019353077484
LVHI,5.723266666642024,14.238543893384634
RODM,4.755124387183485,13.79366906056604
IEIH,,
BTEC,11.907188361176146,27.416789830757022
SDG,12.257743416466372,15.209070077869027
ERTH,14.761906293262017,23.160104845175454
KGRN,,
WNDY,,
GBLD,,
FRNW,,
TAN,39.64988325269585,39.63488210270286
ACES,,
RNRG,10.456462157236501,17.16043070925426
ICLN,24.893824398620556,29.35683366747267
SOLR,,
EWRE,14.577271841918837,18.982602701281557
RYH,14.344887938447881,16.535030662084793
RHS,10.193452133346415,14.000215841683447
IDHD,3.9256548221154652,13.977392978397857
UTRN,,
MID,,
AMOM,,
ESMV,,
QCLN,34.202798370912824,34.616688939559936
WOOD,12.85482284503281,21.636741161072774
CTEX,,
CLMA,,
DTOX,,
SHFT,,
CNRG,,
AQWA,,
CGW,12.226706035066615,15.83097208454944
STNC,,
NULG,19.974382520697233,19.30770566199026
MXDU,,
EWJE,,
ADIV,,
JPIN,3.6763393851402038,14.262123338562366
IDLV,3.257373743190084,12.581183768453187
IMFL,,
PUI,9.104642584612744,15.18300581718833
FEDM,,
