Name,Group,3y return,3y Beta,3y Sharpe Ratio,,3y SD,5y return,5y Beta,5y Sharpe Ratio,5y SD
CRBN,Environment ESG,1.23,1,1.45,,17.26,1.03,1,1.8,15.16
ERTH,Environment ESG,1.75,1.25,0.74,,25.07,1.4,1.25,1.18,21.78
SPYX,Environment ESG,1.59,0.99,0.56,,17.61,1.35,99.81,0.98,15.7
ICLN,Environment ESG,2.75,1.18,0.4,,33.15,2.01,1.16,0.99,28.06
CNRG,Environment ESG,3.39,1.32,0.17,0.664,36.08,n/a,n/a,n/a,n/a
IWM,Index Tracker,1.16,1.17,3.35,1.18,23.7,0.96,1.18,3.32,21.18
SPY,Index Tracker,1.58,1,0.8,,17.71,1.34,1,1.23,15.73
QQQ,Index Tracker,2.17,1.03,-0.28,,19.8,1.88,1.06,0.05,18.06
IVV,Index Tracker,1.58,1,0.82,,17.76,1.34,1,1.25,15.78
DIA,Index Tracker,1.12,0.99,1.07,,18.19,1.15,0.98,1.43,10.81
VTI,Index Tracker,1.54,1.04,1.32,,18.47,1.31,1.03,1.73,16.36
ESGU,Overall ESG,1.61,1.02,0.7,1.3425,18.16,1.36,1.02,1.17,16.11
VSGX,Overall ESG,0.75,0.98,2.85,,16.67,n/a,n/a,n/a,n/a
ESGE,Overall ESG,0.55,0.96,1.13,,18.33,0.62,1,1.04,16.71
ESGV,Overall ESG,1.65,1.03,0.69,,18.46,n/a,n/a,n/a,n/a
XVV,Overall ESG,n/a,n/a,,,n/a,n/a,n/a,n/a,n/a
RSP,Smart Beta,1.47,1.1,2.97,1.162,20.33,1.21,1.08,3.38,17.75
IWD,Smart Beta,1.16,1.01,2.83,,19.11,0.92,0.99,3.31,16.55
VTV,Smart Beta,1.24,0.96,1.88,,18.18,1.06,0.95,2.3,15.88
VYM,Smart Beta,1.14,0.9,1.86,,17.17,0.97,0.89,2.3,14.98
USMV,Smart Beta,1.02,0.8,1.03,,15.43,1.04,1,1.34,11.38
SCHD,Smart Beta,1.56,0.96,0.96,,18.21,1.32,0.95,1.35,15.98
VIG,Smart Beta,1.34,0.86,0.2,,15.85,1.23,0.88,0.59,14.44
VUG,Smart Beta,1.92,1.05,0.04,,19.72,1.65,1.06,0.55,17.58
IVW,Smart Beta,1.83,1.01,0,,18.85,1.63,1.02,0.5,12.36
IWF,Smart Beta,1.92,1.04,-0.15,,19.46,1.7,1.06,1.34,12.36
RSPE,Smart Beta ESG,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a
MVEE.SW,Smart Beta ESG,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a
RAFE,Smart Beta ESG,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a
SHE,Social ESG,1.01,1.06,1.6,0.815,19.8,0.98,1,1.34,11.38
NUEM,Social ESG,0.74,0.92,0.87,,18.09,n/a,n/a,n/a,n/a
DSI ,Social ESG,1.63,1.02,0.6,,18.14,1.38,1.01,1.34,11.38
SUSA,Social ESG,1.63,1.01,0.19,,18.04,1.36,1,0.74,15.99
ICAN,Social ESG,n/a,n/a,,,n/a,n/a,n/a,n/a,n/a
